Title,cleaned_text
भिखारी,beggar stand still pitiful eye look silent light deep sorrow thin thread hope play near sunlit courtyard single point dissolve entire history life tattered clothes oh time cruel thought like stone path life shivering trembling stand beggar extends begging bowl ala tax he unstable filled fear dust year fallen upon head stream tear etched upon face day day upon chest wound carved deep slowly slowly drag silent cry fill air around heart breaking agony leaning wornout stick utters voice tear chest handful rice lifetime plea handful rice among human cry depth human heart brother plea alms handful rice seek sunlit courtyard dark observation amidst laughter flower sorrowful lamentation could whose son whose father poor mother holding dear lit two lamp eye hope opened eye near gaze sun moon close lose mind sweet life lamp dim eye lord buddha beggar came form word pain heart cried vast ocean great compassion word surged disguise aside pride sacrifice turned cruel heartless fallen dark cloud lost darkness god beggar god speaks entered heart searching every house courtyard speaks voice pain heart heavy compassion ocean tear age past pours depth sorrow god speaks opening abyss begs compassion brother oh people earth god begs alms beggar courtyard
बादल,offspring vast water born summer heat festive birth bright clean sun wave laughed dancing glee wind invited afar blowing great vigor yearned soar sky aspiration high slowly climbed clean ray like tiny thread light higher higher climbed met spread realm sky wind carry u wander world island city jungle divine exhibition earth plain field valley cave mountain forest river garden stream crystalclear water cascading waterfall grove tree humble hut grand mansion palace avenue
तिनको घँसिया गीत,velvetsoft grassy green roof mountain lush beautiful lap chirping chirping countless bird sing sky canvas pristine deep blue fluffy cottonlike cloud westward crimson glow eastward net painter masterpiece lone maiden eye bright body radiant cheek rosy light delicate heartstealing melody charming graceful lovely open bright expanse solitude youthful laughter bloom freely full moon artistic glory sparkling dewdrop playfully dance charming smile grace lip beautiful water cool ground sings melodious song water murmur sun descent cloud shimmer leaf sway gently tender hand gather fresh red berry young maiden like flowing river cut emotion resonating fragrant crop fill essence within somewhere far distant flute play youthful tune gentle tremor arises enchanting flower bud open lip blending water merging heart soon unite within cloud heart beat sync world melody beautiful water cool ground sings melodious song memory resurface melody intertwine time flow reverse birdsong echo ear nature adorns hue maiden sits cutting grass red rhododendron bloom hair youth sweet reflection water seems boundless like distant shore fade away like speck dust beautiful gate infinity heart tremble touched nature lotus bud beauty song longing take flight reach bright city light time speaks enchanting word grass cut swish beautiful water cool ground melodious song arises
सन्ध्या,lalitpurs highart craftsmanship wonder chisel wrought balanced delicate line pattern etched upon vaporsmooth marble red vasant mahal window ancient west atop chandragiri vast drink water gleam gold wellprepared stand traveler sunset wing imagination sweet murmur turmoil emotion road time long age alley alley soul spectator seek beauty alley alley behind window pattern whose exquisite face whose sweet fragment vision savoring savoring flickering light heart amazed imagination truly luxurious older memory queen beauty royal maid bygone era burning bright solitary immortal thirsty love etched bar heaven court vasants inner chamber today shringar eager apply kohl adorn long flowing garment dream heart lovestruck krishnalike hair like flowing cloud captivate fill jewel steal heart conquer simrik bird springsunlike bright tika firmly placed forehead wiped little water smudge window front mirror bend stand tall test conquering power sly glance joyful little playful blush blooming erase little add little imagine little soul music flow halfshy hum softly oh beautiful one fog woven himalaya breath thin shimmering fleeting lift starry curtain little cast swift wind upon hair dark message delivered depth amravatis spring beloved king chandra climbing himalayan forestfilled thiefridden path arundhati wilderness oh ancient muse whose memory red rendezvous make fall love immortal eternally youthful glorious one indescribable connoisseur salutation oh king
सम्झना,cloud gather sky sadness descends upon life tapestry tear cascade like pouring rain barren wasteland blossom within heart logic crumbles lamentation painful memory resurface mind like dream city earthquake remember night new moon cry echo desert hand reach forehead despair life curse endure blade poised final act curse cruel world jungle cry lost within depth live fade despair engulfs heart realize holding back tear poison cure memory garden bloom filled color sweet nectar rise weary soul bathe cool water resilience nightingale sing heart bringing forth gentle spring breath fragrant breeze carry scent malayan wind depth memory sweet melody awaken
यात्री,temple traveler temple seek offering carry plan proceed whose shoulder ride divine city wish reach bone beautiful pillar flesh wall wide golden roof mind sens door inside nerve like river flowing temple vast grand temple traveler door stand beautiful throne mind reign lord universe radiant jewel consciousness crown divine verse beautiful temple body center creation god resides within yet search outside strange situation god dwells depth wander surface far search everywhere looked within far cultivate heart light within brightly blaze fellow traveler god walk beside myriad way god kiss hand touch pure bright caress magical hand devotee might god sings roadside melody bird sweet speaks pain sorrow people longs meet never give darshan eye ear skin temple traveler foreign land within u together join hand mankind u heal wound suffering compassion shall u divine face god smile upon land serving humanity true divinity shall command
प्रश्नोत्तर,nectar drink god earn honest everyone seek happiness erase others cant peace reside greed departs companionship resides temple god reside smile seated throne pure heart understand mysterious life read guru amongst blooming rose knowledge blossom many form reside garden truth revealed duty man much conflict star sky heart great world sweat wisdom purpose one soar touch moon
आफ्नो घर,thought enter sharp fill heart light dark night spread ray oh beautiful like sunrise sweet sight show awaken thousand gentle word love rise gently like cool morning breeze good wish dear fragrance delightful imagination fly divine swan eastern sky enchanting dawn lie joy truth beauty like pure dewdrop jasmine flower may heart open canvas emotion flow shine like gold ignite cloud passion unspoken delicate like tender small thought bloom sweet flower garden heart joy behold though nameless unique sway gently young leaf like child beauty vibrant color wandering garden heart may desire fulfillment beauty meditation like devotee find grand temple nature shimmering shoulder dawnlit himalaya seek familiar path within heart wander home
जीवन वन,
वृक्ष,tree stand tall spread wide dense cool leaf whisper softly peace intense heart soar emotion color dance breeze root spread deep within soul branch adorned flower ease oh tree share secret friend old sweet solace presence even alone im bold silence converse bond transcends mere word unspoken tale share like secret whispered bird life desire heart beat within life unfolds color mirroring skin earth dance season curtain rise fall sun shade play upon wind whisper enthrall afar cuckoo arrive melody sweet build nest upon bough bird discreet bring tidings distant land symphony grand awakening within u emotion understand root delve deep earth drawing sustenance unseen grow bloom flower bright reflection dream root lie within earth strive height within u lie beauty joy spring gentle love hue dawn twilight moon soft silvery glow rain gentle touch wind playful dance star twinkling purity water warmth sun embrace blend bloom vibrant hue emotion retrace leaf like thought abound sway fall rise anew taking shape form mirroring dance life rhythm breath sky like wave unseen life flow beneath watchful eye place purpose striving fulfill spread bloom wither cycle nature form essence beauty unique every way space role claim life grand display seed tree became form yet unfold million leaf tapestry beauty within told spread branch verdant hue color bright bold today reality tomorrow dream story yet untold new seed sprout new tree rise whispering breeze new bird sing melody carried sea earth moon sun dance rhythmic sway bloom fade cycle life beauty hold sway sharda shrawan
गरीब,poor rich happiness wont wealth anywhere world slave desire luxury sweet labor delicious reward like river stone effort flow laughing filled wave dont stagnate one place like pond every particle life pure forehead adorned sweat pearl invaluable there beautiful lamp peace within taste nectar every bite hunger sweet thirst delicious finally aroma satisfaction need met create new world inhabit universe beautiful home blue sky magnificent roof filled countless gem moon star radiant sun dawn dusk paint sky color cloud arrive marvel sight dance season beautiful spectacle play light shadow day night flower sway dangle like fairy sparkling beautiful bead dew bird sing thousand melodious tune symphony nature instrument velvety grass soft inviting rest hard mighty tree wing wind blow free strong small hut abode joy reached climbing mountain ambition wind play freely endless blue sky overhead alone simple amidst infinity near cascading waterfall star twinkle moon rise smile evening adorns beautiful scene mountain field breathtaking view bask joy sun peace embrace darkness taking heart flight fancy wander moon star earth enjoying thrill journey return lovely abode cheerful carefree youth open heart world embracing life drop adorned ornament shimmer rose sway intoxicated joy garden filled fairy sweet rose countless flower fragrant beautiful garment colorful vibrant adorn scene sleep usher unique beauty dream sweet magic forget world embrace dawn arrives shy charming god day night there fear worry world delightful blessed part
वसन्त,season arrived earthqueen moonmad bee hum bird flit dart nerve tremble heart flutter like first lamp flickered primal glimmer creation first ripple existence time shiva unveils cosmic dance himalaya blush gauri crimson hue first glimpse urvashi heart leap like vikramas wound sun touched tip evening star sage soul dance like butterfly liberated calling earth heaven nectarfilled paradise stone seem whisper sharing secret saffron love universe bud swaying branch entered white gate sharing tale blossoming world sitting beside fairy fragrance wave carry wave wave bud heart bloom spreading scent like bee
जीवन,awakening cry tender sweet dawn enchantment bamboosprings playful journey dreamflowers resonance love innocence moonlit magic intoxication haze sparkle eye beauty embrace vast luxurious bliss gentle tremor life dance new reflection foreign land aspiration flight soaring high novel hue wave light song innocent lip field action youthful zeal exploring weighing new possibility relying strength love courage vast world free invaluable color fade bitterness illusion shattered hope stolen like scattered ash anxiety sorrow separation increase unrelenting logic weighs heavy mind creation web luxurious grand yet within selfinflicted defeat winter frost upon blossoming head stark contrast world bustling affair growing awareness solitude forgotten dream cherished bright shelter downpour despair sorrow grief unfamiliar voice echo end life rosary love tremor vibration deep within tearfilled eye gently close oh life strange wondrous
अन्त्यमा,twinkling star twinkling star distant light home may dark cloud gather near life sun start roam remain serene remain serene day end bright sky grace gust restless wind disturb tranquil space final hour evening chime gentle day eyelid softly close darkness drape u beautiful divine expanse last glimpse behold final scene fading light eye begin fold infinite sky bird soar peaceful flight leaving courtyard seeking peace wood lost night single word melody thread joy unknown may echo garden heart memory sown
जिन्दगीको मौसम,may season life remain plowing field heart lay barren rain pours water consciousness pure white infinite ocean season arrives circling round round soil heart bloom profusely rain sings song tie sens ox body plow tilling field seed karma world plant thousand sprout field long season life remains plowing planting dont cruel time anyone barren dont fall asleep yet plant seed grain ripen later dont cry later harsh winter come
झरना,mountain peak saw water cascading wondrous draw thousand lamp ignited bright within heart dispelling night hidden power secret force lie waterfall vibrant source could truly radiant light electricity ala vain flow wasted water nobody know dont heart like mountain high hold spring pure water nigh within u could reside thousand beautiful fountain side side oh sorrow deep despair darkness lingers heavy snare
घाँसी,handsome youth slept soundly pillow stone beneath tree profound grasscutter sharpened blade care sitting beside lost affair forest sweet melody creep youth slumber soft deep one heart soared high blissful dream others life waking gleam awakening youth eye bright asked grasscutter might sharpen sickle man replied gentle smile toil little kind sickle youth inquired grace journey lonely space none reflect heart embrace hand weary sickle disgrace sell gather coin care buy clay lamp wish cant bear flower bloom sown love long one play toy click clack sickle danced glee grasscutter spoke intermittently moment precious like shining gem gathered without condemn god jungle field grass grows tall harvest bounty tulsis pay due earth grand rama grace shine two day land youth mesmerized magnetic spark lightning struck leaving mark rustling leaf sweet melody birdsong filled forest wild free emotion flowed rhythmic sway youth heart danced along way ah sighed voice serene grasscutters life sight seen awaken awaken forest slumbering soul standing tall youth eye welled tear bright chest swelled joy beautiful sight two teardrop fell tranquil stone forming beautiful line like word unknown two letter emerged ra clear divine inscription dispelling fear voice sweet sun dipped low golden retreat teardrop fell heart pure pitterpatter stone endure forest color turned ink flowing like river brink bird sang sweetly cage tree symphony nature carried breeze drinking nectar hill came alive joy laughter began thrive cool stream flowed shady tree thirst sorrow vanished breeze sang rama sita love true grasscutter joined heart anew like blooming lotus spirit soar two nepali soul united forevermore oh venus star beautiful guide nepali first sound cant hide may land filled soul bright like grasscutter shining light beauty language pure true like parrot voice sweet new innocence childhood every line simple bright divine spoken depth heart sweetness word cant impart return land beauty awaits power birth language moment behold history pure story told oh bright earth sweet air honeymoon joy beyond compare
सुनको बिहान,golden day dawn land open way colorful cloud spread waterfall sing love bird awake chirp glee temple bell ring merrily gentle breeze softly blow wake sleeping flower world dance vibrant hue towering himalaya grand view cool refreshing dew fall progress uplift u
पाप लाग्छ,pluck bud sin incurs dare thud tear flower child mercy religion exiled touch bird dear tear curse youll bear kill creature meet death awakens taking seat inflict wound pain burn heart leaving stain blow dust little one fly cover everyone play dirt grime bad stain mark time time cause heart ache tear flow goodness sake like flower always bright smile spread fragrant light always bring joy world wide hope eternal every stride everywhere god resides lend ear listen thought hold dear hide conceal illfeeling ever steal
पैसा,oh money bright valuable eye light world round priceless captivating charm posse make mind soar world round wealth round money reign supreme thing money heart bloom joy cure ailment woe money everything beyond world rarely dark money power wealth strength life one command respect honor world bow rich turn away one penniless people like dog devoid humanity money stand tall treasure world money teach cunning deceit absolves guilt cover wrong money sorrow vanish without trace evil seems exist world yet seed sin dark vile wields knife sword spear ignites greed within heart chamber leading misery life despair money people kill betray principle moral cast aside used good pave path heaven evil lead countless misery therefore amass wealth kind heart source joy sorrow well share rich wipe away tear perform good deed big small consider wealth rightful inheritance dear child plea advice always righteousness virtue
सिँह र मुसा,hot summer day sun scorching hot sky ablaze heat unbearable seeking respite oppressive heat lay shade tree tongue parched dry large lion king beast eye halfclosed rested peacefully shade tree provided cool bird chirped sang offering sense tranquility lion lost blissful slumber enjoyed peace tiny mouse scurried frolicked unaware sleeping king ran around tiny paw making soft rustling sound mouse playful antic climbed onto lion dancing leaping without care world companion nibbled lion mane others tickled long tail lion annoyed disturbance roar mighty paw swatting pesky creature mouse scattered fear tiny heart pounding lion anger shook ground lion unable sleep grew increasingly frustrated constant buzzing scurrying driving mad dare insignificant creature disturb rest thought royal pride wounded audacity determined teach lesson caught one mouse tiny body trembling grasp spare majesty pleaded terrified mouse meant harm playing lion amused mouse plea decided chuckled dont catch mouse grateful life scurried away vowing repay lion kindness someday fate often took unexpected turn mighty lion found caught hunter trap roared struggled strength match rope pride power rendered useless little mouse hearing lion desperate cry rushed aid tiny teeth gnawing rope strand strand worked tirelessly finally lion free lion humbled experience thanked mouse realizing even smallest creature show great kindness misjudged admitted saved life lion mouse became unlikely friend testament power compassion forgiveness
वर्षा,oh ghar ghar ghar ghar jhar jhar jhar jhil li li li jhil sil sil mil mi mil oh hwar hwar hwar hwar jham jham jham jham jhar sir sir sir sir swanr oh ghar ghar ghar ghar jhili jhili jhili lake sil sil bhil bhil bhil chul pul chul pul chul pul dar dar dar dar dar sir vir sir vir swanr oh ghar ghar ghar ghar jhil li li li jhil sil sil mil mil mil
मास्टरजी,small chin beard beginning sprout black stubble thats rubbed repeatedly two finger right hand long thin cane slender stick deliver thousand whack eye oh eye distorted countless black letter two round spectacle see world three thousand time scorching sun darkskinned master teach walking encyclopedia thin tongue flicker like red lizard gait swift carry load book collecting thought idea page saturday tuesday seem endless bhim bhrikuti appear menacing he bane boy dont memorize lesson stomach like sarangi hollow thin wonder behold yet within mountain range book much knowledge crammed small space tiny head carry weight world small mouth utters word thousand hand long there nothing doesnt mind globe effortlessly name city paris london every town sanskrit hell simply oh please dont bother teach head spin like top curious contradiction learned soul
पल्टन,drum war thunder arm clear beloved nation march forth without fear weapon son soil grand vanquish enemy blood shall water land every beat drum spirit soar high one two one two marching rhythm cry nation honor forth might drum war thunder guiding u fight today battlefield awaits valor test heart unwavering brave well stand among best embrace death heaven awaits live glory untold cymbal clash tale bravery unfold life limb offer crucial hour every steady step inner power behind home loved one dear nation cause conquer every fear like storm surge forth destined shine bright divine guide fear day night nation live die love know bound march forward climb every peak victory resound glory honor await listen drum cower fear like jackal shall fall behind home loved one hold dear heart ablaze march banishing every fear mortal body may perish turn dust fade nation honor spirit never degrade brave warrior united row long bold march forth unwavering step story told eye fixed prize heart filled burning might drum war thunder guiding u night today settle old score courage stand tall weapon raised high ready answer freedom awaken kali awaken power ignite nation defense fight might every beat drum march perfect line enemy reign crumble spirit intertwine life battle eye gleam fire body may turn dust soul inspire around son nepal spirit ignite vanquish enemy ascend victory height every step cautious resolve never sway brave warrior steadfast like star light way nation depart leaving loved one behind drum war thunder rhythm hold enshrined
सौन्दर्य-उपासना,yearn thing beautiful fill heart mind grace eye thirst beauty view delight place radiant bloom fragrant delight subtle pleasure fill soul heart overflow pure delight feeling word cant quite console drink sweetness blue sky dome star like playful diamond gleam moon sweet nectar eye two cup catch every beam azure bowl vast expanse pours essence pure bright light dance heaven nectar shining light world beautiful wondrous sight star like jewel dazzling array word capture brilliant light like flower strung light way maker world vast grand must posse beauty beyond compare wondrous creation planned treasure heart share eye well tear flow tremor run flesh bone draw near meditation glow true form thing shown thing unpleasant dark unkind sting heart painful dart shine beauty aligned bring lasting joy weary heart witnessing world strange bright thought within mind take hold craft beauty radiant light behind tale told
फूल-परी,garden full colorful playful fairy oh beautiful whispering giggling adorned shimmering clothes fragrant sweet perfume soft colorful like silk green canopy wind dance swaying swirling never rest adorned sparkling diamond dew smile beckon eye sharing joy beautiful bird soft colorful feather flutter around playful dance mesmerizing almost scary touch speak little girl forest fairy blushing reply colorful soft cloud hang low tall rainbow bloom many hue world like shimmering color wing beautiful bright born little one born dream god heart shimmering light dawn dance silently like colorful bird speak kind heart receive command open heart dance always smiling lord enchanted world heart woven thousand language adorned love world like precious jewel made earth yet filled heavenly nectar small beautiful fragrant full emotion let illuminate world beautiful color spreading fragrance happiness air removing everyones pain child drawn lord spread fragrance captivating world sharing sweet honey heart may life like dream beautiful moment may world filled joy sweetness u soft jewel vibrant color happen joyful heart heart overflowing nectar ready nourish others thats fragrance spread everywhere
किताब-चरो,beautiful bookbird poor thing spread two wing many drop open shimmering engrossed watch ah many layer nest many feather spread delightful farther fly ride always bliss sometimes reach palace cloud gold real among world story contemplate new thing sometimes abroad somewhere amazed picture patna benares bombay wander immersed color sometimes crossing many ocean wander london friend riding many motor many tram flying airplane converse many long ago much mouth ooze nectar taking rhythm sweetness happiness palace yore shining sword glittering history turned story poem sometimes new scene sometimes world joy sorrow converse bygone era fun ride bookbird
धूलो,dust homeland water mingle pouring heavy rain shower land may feeling belonging never fade fragrant particle behind flower bloom thousand inhale sweet perfume
नेपाली सलाई बट्टा,shimmering ray adorn radiant face intensely red like rose sun vibrant poem unveiling color bright bold may new flame ignite within heart darkness fade lamp burn bright sun ray shine strong new era dawn newfound light
कुहू कुहू,forest make cuckoo sound oh remains unknown flower hidden branch fragrance reside bird towards bud within single bud feel like dream fleeting vision fail recognize shimmering essence carrying myriad hue hiding making spring bloom question delightful captivates asks everything childlike heart flowing stream delight creates colorful spring new wondrous creation
तस्वीर,little one ready delightful beautiful fun may taste skill youve perfected every face clever thing essence picture embrace mouth perfect nose slender fine clothes fit right divine anger joy emotion captured grace every day watch finding joy solace could painted people well artistry skill cant heart full color imaginative flair many world could created beyond compare real seems every face speaks none appear incomplete moment enter world whim fancy always aligned gaze upon listening intently mind wanders lost contemplation plenty mouth speak essence picture unfolds tree bloom thousand wing hold friend let climb branch let observe imagery every day study like immersed world within artistic bliss
हैँसा बुढीको मुख,face devoid joy laughter covered wrinkle countless number like deep ravine etched sorrow reflecting life hardship slumber color grace lip strength hand stick lean pitiful stand half body seems withered away leaving behind frail shell disarray bent back bear weight time embrace hair turned silver frosty white trace eye bright dimmed forlorn longer keen world reborn fly buzz around constant refrain sits motionless spirit pain courtyard lie empty mockery cheer yearns comfort end drawing near neither celestial haunting sprite old woman life journey taking flight reduced dust begs trembling plea tobacco desperate decree witnessing plight chuckle escape lip pause wave realization grip teeth lost passage time adorn hair frost cruel mime wrinkle stretch across throat thirsty terrain drink water effort enduring strain ear grow deaf yet cling life fading light turning towards sound water day night lip move silent whispered hum old woman like tree stripped bare overcome mutter spell seeking solace might ward evil spirit fading light dont tease fear grip heart tear hide pain behind wrinkled facade pitiful soul burdened dismayed vibrant soul full life sweet song frail echo wrong life journey end leaving emptiness wake enough mockery compassion sake
गाउँ दिने कथा,riding howdah horse elephant atop howdah playful king faced plight two hut dark small two star twinkling branch high bush low dear could
पृथ्वी-भकुण्डो,round earth wobbly pumpkin spinning day day kicking tumbling every moment always thrown east day run west play pumpkin day stop hari there vast field biggest shimmering blue always lit laughing many way throw alone tumbling turning day night seen anyone playing football side
जुनी,life stealing troubling like fly life decorating mind like deer lazy sleepy one called python careful next life bad big say one elephant one kick trample horse one drink blood mosquito careful next life dirty thought vulture one doesnt donate world donkey even stonehearted person change said change way listened ear
झाँगघर,let build home together though world earth heaven may heart bloom like flower filled joy thought flow like gentle wave wave home new one within lie different world altogether soul like bird caged yet speaks sweet novel word many window adorn abode sunlight stream wave happiness abound eagerly entering every corner cool breeze refreshes eye
